0	0	0
0	0	0
0	0	0
28319	3	51
39611	3	30
38617	3	5
285959	5	185
130988	4	149
1984774	2328	13555
155965	1	305
135981	4	200
12741	2	188
1011441	47	209
213972	4	202
404809	1	886
58648	3	71
382508	5	1084
294377	1	838
60707	2	172
7000	2	5
9121	2	40
6117	1	286
461802	8	650
199567	2	1023
224778	1	464
71509	2	43
104930	2	65
57106	2	14
78104	2	127
265723	5	177
599689	13	618
36351	1	262
11485	3	272
299863	4	560
88307	2	1312
299892	6	539
129048	2	107
328825	1	525
433842	1	1807
23890	1	1781
385054	3	866
196468	1	4841
1141089	388	4526
1193533	33	9119
total:11892510	2904	48159
