0	0	0
0	0	0
0	0	0
28319	7	47
39611	5	28
38617	3	5
285968	31	150
130989	21	131
1996153	2097	2407
155968	42	261
135983	28	174
12741	19	171
1011567	51	79
213976	25	177
404824	54	818
58648	9	65
382553	135	909
294381	30	805
60707	14	160
7000	3	4
9121	7	35
6117	15	272
461852	96	512
199575	70	947
224781	27	435
71509	6	39
104930	6	61
57106	3	13
78104	15	114
265731	35	139
599772	114	434
36351	19	244
11485	36	239
299882	71	474
88310	71	1240
299909	55	473
129048	13	96
328828	24	499
433859	77	1714
23890	34	1748
385091	117	715
196488	205	4617
1142960	907	2136
1195248	1522	5915
total:11907952	6119	29502
