0	0	0
0	0	0
0	0	0
28319	4	50
39611	3	30
38617	3	5
285963	19	167
130988	12	141
1992766	2777	5114
155965	16	290
135981	16	188
12741	8	182
1011526	57	114
213973	14	191
404812	16	868
58648	5	69
382522	54	1021
294377	6	833
60707	7	167
7000	3	4
9121	4	38
6117	4	283
461823	53	584
199568	21	1003
224778	8	457
71509	3	42
104930	3	64
57106	2	14
78104	7	122
265726	19	160
599726	69	525
36351	7	256
11485	18	257
299869	33	525
88307	19	1295
299899	27	511
129048	6	103
328825	6	520
433843	12	1795
23890	3	1779
385064	44	815
196469	27	4814
1142191	797	3015
1194126	728	7831
total:11902391	4940	36242
