0	0	0
0	0	0
0	0	0
28319	2	52
39611	2	31
38617	1	7
285959	1	189
130988	1	152
1979762	0	20895
155965	0	306
135981	1	203
12741	1	189
1011375	1	321
213972	1	205
404809	1	886
58648	1	73
382508	0	1089
294377	0	839
60707	1	173
7000	1	6
9121	0	42
6117	0	287
461801	1	658
199567	1	1024
224778	0	465
71509	0	45
104930	1	66
57106	0	16
78104	1	128
265723	1	181
599686	1	633
36351	1	262
11485	1	274
299863	1	563
88307	1	1313
299892	1	544
129048	1	108
328825	0	526
433842	0	1808
23890	0	1782
385054	1	868
196468	0	4842
1140584	0	5419
1193518	0	9167
total:11886908	28	56637
