0	0	0
0	0	0
0	0	0
28319	32	22
39611	20	13
38617	4	4
286000	86	63
131000	91	50
2000000	434	223
156000	178	93
136000	113	72
12741	140	50
1011644	32	21
214000	104	74
405000	381	315
58649	46	27
382829	565	203
294539	498	179
60711	104	66
7000	5	2
9121	31	11
6117	211	76
462026	251	183
199689	523	380
224839	234	170
71509	26	19
104932	37	28
57106	9	7
78108	70	55
265765	103	37
600000	235	85
36355	161	98
11485	202	73
300000	314	113
88376	744	501
300000	256	181
129055	59	43
328919	271	161
434319	979	352
23915	1292	465
385322	442	159
197098	3097	1115	
1144806	693	504
1200000	1974	711
