0	0	0
0	0	0
0	0	0
28319	3	51
39611	3	30
38617	2	6
285959	2	188
130988	2	151
1981951	1371	17335
155965	1	305
135981	2	202
12741	2	188
1011409	33	255
213972	2	204
404809	1	886
58648	2	72
382508	1	1088
294377	1	838
60707	2	172
7000	2	5
9121	1	41
6117	1	286
461801	2	657
199567	1	1024
224778	1	464
71509	1	44
104930	2	65
57106	2	14
78104	2	127
265723	2	180
599686	4	630
36351	1	262
11485	1	274
299863	1	563
88307	1	1313
299892	2	543
129048	2	107
328825	1	525
433842	1	1807
23890	1	1781
385054	1	868
196468	1	4841
1140810	209	4984
1193518	2	9165
total:11889357	1675	52541
